time_elapsed,K30_1p_CO2_ppm
0,701
65.00000011,993
74.99999993,1006
84.99999975,1032
95.0000002,1065
105,1083
116.0000001,1101
180,1219
189.9999998,1219
200.0000002,1220
211.0000003,1224
221.0000001,1232
230.9999999,1239
296,1345
305.9999999,1342
316.0000003,1343
326.0000001,1345
336,1345
345.9999998,1350
410.9999999,1457
420.9999997,1450
431.0000002,1447
441,1445
450.9999998,1447
461.0000003,1449
525.9999997,1506
536.0000002,1506
546,1507
555.9999998,1508
566.0000003,1512
576.9999997,1515
641.0000002,1571
651,1571
660.9999999,1571
671.9999999,1573
681.9999998,1582
692.0000002,1584
756.0000001,1646
767.0000001,1638
777,1637
786.9999998,1639
797.0000002,1639
807.0000001,1639
872.0000002,1683
882,1685
891.9999998,1683
902.0000003,1682
912.0000001,1682
921.9999999,1685
987,1723
996.9999998,1723
1007,1723
1017,1727
1027,1729
1038,1730
1102,1741
1112,1747
1122,1751
1133,1757
1143,1764
1153,1765
1217,1764
1228,1774
1238,1784
1248,1789
1258,1791
1268,1796
1333,1808
1343,1811
1353,1813
1363,1815
1373,1820
1383,1823
1448,1885
1458,1879
1468,1870
1478,1867
1488,1867
1498,1865
1563,1868
1573,1873
1583,1876
1593,1877
1604,1879
1614,1879
1678,1907
1689,1905
1699,1904
1709,1904
1719,1902
1729,1903
1794,1933
1804,1929
1814,1930
1824,1923
1834,1922
1844,1921
1909,1932
1919,1932
1929,1932
1939,1932
1949,1932
1959,1932
2024,1955
2034,1950
2044,1950
2054,1947
2065,1948
2075,1948
2139,1942
2150,1948
2160,1954
2170,1954
2180,1955
2190,1957
2255,1995
2265,1987
2275,1983
2285,1978
2295,1976
2305,1973
2370,1986
2380,1984
2390,1983
2400,1981
2410,1982
2420,1981
2485,1978
2495,1983
2505,1982
2515,1983
2526,1985
2536,1983
2600,1992
2611,1991
2621,1991
2631,1989
2641,1988
2651,1988
2716,2002
2726,2003
2736,1997
2746,1997
2756,1997
2766,1998
2831,1983
2841,1991
2851,1995
2861,1997
2871,1999
2881,2003
2946,2004
2956,2004
2966,2004
2977,2003
2987,2001
2997,2002
3061,1995
3072,2002
3082,2004
3092,2004
3102,2004
